관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수,y,x,업종_idx
11260-11735,,지상,서울특별시 중랑구 용마산로51길 50,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0892977,37.5802023,13
11440-100240316,,지상,서울특별시 마포구 동교로23길 96,4.0,1.0,0.0,,,,,,,,,,199.63,3.0,126.9178752,37.5596741,13
11440-100247654,,지상,서울특별시 마포구 독막로3길 45,5.0,3.0,1.0,,,,,,,,,,185.71,9.0,126.9175702,37.5503375,13
11440-100219354,,지상,서울특별시 마포구 성미산로 24,6.0,1.0,1.0,,,,,,,,,,197.39,5.0,126.9109776,37.558458,13
11110-7433,,지상,서울특별시 종로구 지봉로 24-12,5.0,1.0,0.0,,,,,,,,,,293.93,6.0,127.0162701,37.5725215,13
11290-28318,,지상,서울특별시 성북구 종암로19길 16,5.0,1.0,1.0,,,,,,,,,,215.77,8.0,127.0338656,37.5984457,13
11140-22038,,지상,서울특별시 중구 동호로11자길 33,4.0,1.0,0.0,,,,,,,,,,224.26,0.0,127.0048136,37.5507007,13
11215-14125,,지상,서울특별시 광진구 자양로23길 67,2.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.0836266,37.5434344,13
11200-6935,11200-274,지상,서울특별시 성동구 고산자로 313-10,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0365548,37.5678282,13
11200-6933,11200-274,지상,서울특별시 성동구 고산자로 313-6,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0366471,37.5677982,13
11200-18690,,지상,서울특별시 성동구 왕십리로6길 4-11,4.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.0452681,37.5458622,13
11680-1442,11680-189,지상,서울특별시 강남구 광평로19길 10,2.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.0878214,37.4849884,13
11215-13120,,지상,서울특별시 광진구 자양로18길 66,5.0,1.0,0.0,,,,,,,,,,291.64,6.0,127.087126,37.5381459,13
11230-13761,,지상,서울특별시 동대문구 안암로 50-1,4.0,1.0,0.0,,,,,,,,,,204.87,5.0,127.0277153,37.5811585,13
11230-138,,지상,서울특별시 동대문구 황물로 34,,,,3.0,0.0,0.0,,,,,,,0.0,3.0,127.0454569,37.5738641,13
11230-15323,,지상,서울특별시 동대문구 천호대로 427-4,4.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.0667795,37.5618445,13
11440-25214,,지상,서울특별시 마포구 동교로 77,3.0,1.0,0.0,,,,,,,,,,135.69,1.0,126.9106562,37.554075,13
11440-28593,,지상,서울특별시 마포구 연남로 10,4.0,1.0,0.0,,,,,,,,,,185.2,0.0,126.9233837,37.5607205,13
11440-28966,,지상,서울특별시 마포구 성미산로15길 28,2.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.9176279,37.5625167,13
11440-29628,,지상,서울특별시 마포구 동교로51길 63,4.0,1.0,1.0,,,,,,,,,,229.2,2.0,126.9235371,37.5658139,13
11440-32956,,지상,서울특별시 마포구 성암로15길 47,1.0,0.0,0.0,,,,,,,,,,80.93,0.0,126.8966128,37.5767897,13
11710-5612,,지상,서울특별시 송파구 오금로36길 65,5.0,1.0,0.0,,,,,,,,,,233.08,10.0,127.121714,37.4984666,13
11710-12325,,지상,서울특별시 송파구 백제고분로 216,6.0,1.0,1.0,,,,,,,,,,299.2,8.0,127.0905258,37.5033878,13
11710-12906,,지상,서울특별시 송파구 가락로 241,5.0,1.0,1.0,,,,,,,,,,255.39,9.0,127.1177765,37.5098142,13
