관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수
11710-100209346,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3015,지상,20.0,2.0,1.94,0.0,0.0
11710-100209345,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3018,지상,40.0,0.0,9.88,0.0,0.0
11710-100209434,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5106,지상,20.0,2.0,1.58,0.0,0.0
11710-100209021,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-3057,지상,20.0,0.0,57.33,0.0,0.0
11710-100209396,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-3082,지상,20.0,2.0,57.96,0.0,0.0
11710-100209444,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5096,지상,10.0,2.0,5.2,0.0,0.0
11710-100209443,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5097,지상,10.0,1.0,1.36,0.0,0.0
11710-100209442,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5098,지상,20.0,2.0,1.36,0.0,0.0
11710-100209427,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-5030,지상,10.0,1.0,1.9,0.0,0.0
11710-100209437,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5103,지상,40.0,0.0,7.96,0.0,0.0
11650-1119,,지상,서울특별시 서초구 방배천로2안길 39,3.0,1.0,0.0,,,,,,,,,,0.0,2.0
11710-100209156,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3098,지상,20.0,1.0,10.5,0.0,0.0
11290-13362,,지상,서울특별시 성북구 개운사길 41-3,4.0,0.0,0.0,,,,,,,,,,226.73,0.0
11710-100209425,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-5097,지상,40.0,0.0,9.88,0.0,0.0
11470-16576,,지상,서울특별시 양천구 신목로5길 12-1,6.0,0.0,0.0,,,,,,,,,,237.86,3.0
11470-12662,,지상,서울특별시 양천구 지양로14길 9,2.0,1.0,0.0,,,,,,,,,,98.03,0.0
11440-20395,11440-180,지상,서울특별시 마포구 독막로7길 48,5.0,1.0,1.0,,,,,,,,,,0.0,0.0
11440-19281,,지상,서울특별시 마포구 와우산로25길 7,6.0,1.0,1.0,,,,,,,,,,288.04,15.0
11440-180,,지상,서울특별시 마포구 독막로7길 48,,,,2.0,0.0,0.0,,,,,,,207.45,25.0
11380-14850,,지상,서울특별시 은평구 갈현로 302-1,2.0,0.0,0.0,,,,,,,,,,0.0,0.0
11380-14432,,지상,서울특별시 은평구 연서로29길 20,1.0,0.0,0.0,,,,,,,,,,0.0,4.0
11350-5298,11350-484,지상,서울특별시 노원구 덕릉로 813,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11350-100200451,,지상,서울특별시 노원구 노원로1길 73-12,5.0,1.0,0.0,,,,,,,,,,198.01,5.0
11350-100182005,,지상,서울특별시 노원구 덕릉로83길 14-7,6.0,1.0,1.0,,,,,,,,,,246.37,7.0
11710-100210456,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,F-B1018,지하,20.0,1.0,25.41,0.0,0.0
